"loan_id","client_id","client_age","amount","duration","payments","average.salary","unemploymant.rate","balance"
5895,5395,34,93960,60,1566,8390,2.89,49548.5
7122,12756,47,260640,36,7240,8620,1.25,11565.4
6173,6922,57,232560,48,4845,10045,1.71,45754
6142,6749,53,221880,60,3698,8899,3.97,38913.4
5358,2451,57,38520,12,3210,8388,2.94,18914.3
6095,6469,43,68340,60,1139,9753,5.05,46156.7
6878,11381,17,23184,12,1932,8720,4.5,44101.4
6554,9457,18,390096,48,8127,8369,2.31,44278
6793,11004,49,186300,60,3105,8288,4.52,26264
7286,13852,25,67320,36,1870,9307,4.43,19757.5
6076,6366,31,117420,60,1957,8208,2.26,24539.8
5134,992,48,53076,12,4423,8402,3.98,21065.7
5419,2720,47,415800,60,6930,12541,0.43,13480.4
6255,7435,39,247920,48,5165,8110,6.55,23990.1
5656,4055,43,146064,24,6086,10673,5.44,45020.6
6934,11686,48,116832,12,9736,9104,2.07,20739
6028,6122,28,317520,60,5292,8546,4.02,38678.7
6490,8764,56,73260,60,1221,10177,7.75,28038
6415,8392,30,475680,48,9910,9198,4.28,46505.3
7087,12561,30,44304,24,1846,8965,8.23,46446.1
5420,2721,46,72504,24,3021,8991,2.01,17104.4
5977,5801,17,59136,48,1232,10787,3.09,22740.4
6824,11149,31,71976,24,2999,9425,2.5,85375.5
5207,1501,51,35904,48,748,9893,4.72,17662.3
7115,12738,36,88704,48,1848,8624,2.66,13431.1
7250,13608,33,119136,48,2482,9065,5.39,45706.4
6010,6001,59,150180,60,2503,8441,4.48,79230.1
6088,6422,36,90180,36,2505,8594,2.01,36566
5682,4177,61,67464,12,5622,9675,7.68,59310.8
7201,13285,61,67464,12,5622,9675,7.68,64497.2
6938,11701,47,341280,60,5688,8899,3.97,68367.1
6875,11371,55,83280,48,1735,9065,5.39,41045.9
5953,5684,41,97176,24,4049,11277,1.44,91941.4
5942,5642,39,162624,48,3388,10177,7.75,39415.4
5382,2581,43,22932,36,637,8363,3.49,49208.1
6377,8200,52,17184,12,1432,12541,0.43,40773.2
5931,5565,30,66696,24,2779,8980,2.21,12551.9
5992,5873,17,76080,12,6340,9307,4.43,70923.6
5790,4861,19,84288,48,1756,8720,4.5,37381.6
6753,10714,50,67980,12,5665,8512,4.12,55705.9
6562,9505,38,94488,24,3937,12541,0.43,96783.9
7046,12358,53,91632,12,7636,8114,2.62,14930.1
5868,5253,50,90156,12,7513,8173,7.01,78119.7
5784,4786,58,84600,36,2350,9897,1.96,16915.7
5878,5322,40,74040,12,6170,8746,3.74,35310.2
5110,810,51,102240,60,1704,8757,3.95,34783
5210,1511,34,148140,36,4115,8598,3.26,26222.2
7230,13468,36,18720,60,312,8554,2.68,44308.1
5005,215,29,27456,12,2288,8678,5.57,36280.9
6871,11359,24,164256,48,3422,9622,0.59,23421.1
5363,2489,21,293880,60,4898,9624,2.31,-204.8
7253,13620,26,98304,12,8192,8427,1.54,44345.5
6055,6257,54,399120,60,6652,8819,5.66,18581.6
